order_id,order_date,customer_type,product,quantity,unit_price,has_discount
ORD00001,2025-02-16,Regular,Mouse,20,26.89,True
ORD00002,2025-12-01,Premium,Desk,20,203.34,True
ORD00003,2025-05-23,Regular,Monitor,9,295.01,True
ORD00004,2025-06-15,Premium,Monitor,11,303.39,False
ORD00005,2025-10-28,,Laptop,10,999.79,False
ORD00006,2025-08-11,Premium,Keyboard,6,51.44,True
ORD00007,2025-03-09,Regular,Laptop,1,998.03,False
ORD00008,2025-08-04,Premium,Laptop,10,998.28,True
ORD00009,2025-07-26,Premium,Mouse,10,25.74,True
ORD00010,2025-10-15,Regular,Monitor,10,,False
ORD00011,2025-06-25,Premium,Chair,1,153.37,False
ORD00012,2025-03-25,Corporate,Mouse,12,28.27,False
ORD00013,2025-07-07,Regular,Laptop,14,1002.64,False
ORD00014,2025-06-02,Regular,Laptop,5,995.43,False
ORD00015,2025-02-17,Regular,Monitor,5,300.48,False
ORD00016,2025-06-24,Regular,Chair,12,153.07,False
ORD00017,2025-10-20,Corporate,Monitor,5,298.59,False
ORD00018,2025-06-02,Regular,Mouse,1,30.07,True
ORD00019,2025-10-14,Regular,Keyboard,2,47.49,True
ORD00020,2025-01-08,Corporate,Keyboard,14,49.3,False
ORD00021,2025-11-22,Premium,Monitor,2,297.99,False
ORD00022,2025-11-23,Premium,Desk,13,203.97,False
ORD00023,2025-10-23,Regular,Laptop,17,1000.75,True
ORD00024,2025-03-26,Regular,Monitor,17,295.38,True
ORD00025,2025-11-01,Regular,Mouse,9,25.47,False
ORD00026,2025-03-24,Premium,Chair,16,151.93,True
ORD00027,2025-12-10,Regular,Keyboard,18,53.07,False
ORD00028,2025-04-09,Corporate,Desk,13,203.1,False
ORD00029,2025-08-09,Premium,Desk,12,195.5,False
ORD00030,2025-12-02,Premium,Mouse,7,27.21,False
ORD00031,2025-11-24,Corporate,Keyboard,8,54.71,False
ORD00032,2025-03-31,Premium,Desk,19,201.43,True
ORD00033,2025-11-24,Premium,Laptop,7,,True
ORD00034,2025-07-24,Premium,Laptop,12,1000.17,True
ORD00035,2025-05-31,Premium,Chair,13,145.9,True
ORD00036,2025-09-21,Premium,Keyboard,1,53.75,False
ORD00037,2025-11-22,Corporate,Keyboard,4,52.54,False
ORD00038,2025-11-21,Premium,Laptop,18,997.92,True
ORD00039,2025-04-29,Corporate,Laptop,1,996.09,False
ORD00040,2025-03-16,Premium,Desk,7,204.2,False
ORD00041,2025-01-04,Regular,Desk,20,202.64,False
ORD00042,2025-07-14,Regular,Desk,17,201.39,False
ORD00043,2025-11-22,,Monitor,19,298.73,False
ORD00044,2025-10-05,Corporate,Chair,13,,False
ORD00045,2025-01-20,Regular,Monitor,8,297.46,True
ORD00046,2025-11-28,Premium,Laptop,4,1002.48,False
ORD00047,2025-07-27,Corporate,Monitor,1,,False
ORD00048,2025-11-20,Corporate,Mouse,4,26.55,False
ORD00049,2025-10-29,Premium,Mouse,19,29.38,False
ORD00050,2025-05-28,Regular,Keyboard,10,54.76,True
ORD00051,2025-12-27,Corporate,Monitor,3,303.32,False
ORD00052,2025-05-05,Corporate,Desk,15,203.01,True
ORD00053,2025-05-16,Premium,Desk,3,199.72,False
ORD00054,2025-09-25,Regular,Monitor,7,304.94,True
ORD00055,2025-03-26,Corporate,Mouse,18,33.56,True
ORD00056,2025-07-25,Premium,Laptop,8,1002.57,False
ORD00057,2025-06-30,Corporate,Mouse,2,30.11,False
ORD00058,2025-10-16,Corporate,Laptop,4,999.92,False
ORD00059,2025-07-19,,Mouse,5,29.35,True
ORD00060,2025-06-12,Regular,Laptop,15,995.88,False
ORD00061,2025-01-03,Regular,Keyboard,9,47.07,False
ORD00062,2025-11-14,Regular,Monitor,4,301.44,False
ORD00063,2025-11-03,Corporate,Keyboard,17,48.06,True
ORD00064,2025-11-25,Premium,Desk,7,198.76,False
ORD00065,2025-06-03,Premium,Keyboard,18,51.58,True
ORD00066,2025-11-06,Premium,Chair,1,151.68,False
ORD00067,2025-08-07,Premium,Mouse,11,29.74,False
ORD00068,2025-06-29,Regular,Laptop,1,1002.94,True
ORD00069,2025-07-31,,Keyboard,2,54.67,False
ORD00070,2025-08-15,Premium,Keyboard,16,48.14,True
ORD00071,2025-11-09,Premium,Chair,13,,True
ORD00072,2025-08-01,Corporate,Chair,16,151.7,False
ORD00073,2025-10-05,Premium,Desk,13,,False
ORD00074,2025-08-25,Regular,Keyboard,17,53.22,True
ORD00075,2025-01-27,Premium,Mouse,15,27.89,True
ORD00076,2025-05-17,Corporate,Monitor,6,299.58,False
ORD00077,2025-10-01,Premium,Desk,14,204.45,True
ORD00078,2025-02-18,Corporate,Monitor,16,297.34,True
ORD00079,2025-09-04,Regular,Monitor,4,302.7,False
ORD00080,2025-03-19,Regular,Desk,2,,False
ORD00081,2025-04-22,Regular,Mouse,7,31.51,False
ORD00082,2025-10-26,Regular,Keyboard,15,48.29,True
ORD00083,2025-11-13,Premium,Keyboard,14,,False
ORD00084,2025-04-01,Premium,Monitor,4,296.52,True
ORD00085,2025-06-01,Corporate,Chair,2,147.8,False
ORD00086,2025-10-18,Premium,Monitor,16,297.33,False
ORD00087,2025-09-06,,Keyboard,18,49.03,False
ORD00088,2025-11-14,Premium,Desk,19,196.86,False
ORD00089,2025-02-13,Corporate,Laptop,12,996.02,False
ORD00090,2025-11-26,Corporate,Mouse,13,31.32,False
ORD00091,2025-06-19,Premium,Mouse,18,26.6,False
ORD00092,2025-11-05,Regular,Laptop,16,998.84,True
ORD00093,2025-05-16,Corporate,Chair,12,,True
ORD00094,2025-12-04,Corporate,Mouse,6,31.6,True
ORD00095,2025-06-17,Premium,Desk,2,196.04,True
ORD00096,2025-08-06,Premium,Laptop,9,995.88,False
ORD00097,2025-05-30,Premium,Keyboard,18,51.27,True
ORD00098,2025-04-28,Premium,Laptop,4,999.21,True
ORD00099,2025-10-14,Corporate,Laptop,12,998.69,True
ORD00100,2025-04-03,Regular,Chair,11,149.98,False
ORD00101,2025-02-19,Premium,Chair,7,147.34,True
ORD00102,2025-04-03,Regular,Laptop,8,999.17,True
ORD00103,2025-12-05,Corporate,Laptop,16,997.72,False
ORD00104,2025-11-01,Regular,Monitor,14,295.88,False
ORD00105,2025-01-26,Premium,Chair,5,152.85,False
ORD00106,2025-12-31,Regular,Mouse,8,31.51,False
ORD00107,2025-07-30,Premium,Desk,9,197.37,True
ORD00108,2025-11-04,,Desk,15,202.78,True
ORD00109,2025-08-02,,Keyboard,17,52.19,True
ORD00110,2025-05-13,Premium,Desk,15,203.09,True
ORD00111,2025-10-12,Premium,Keyboard,1,46.76,True
ORD00112,2025-12-31,Corporate,Laptop,3,996.24,True
ORD00113,2025-07-25,Corporate,Monitor,5,296.96,True
ORD00114,2025-06-07,Premium,Chair,18,153.37,True
ORD00115,2025-01-15,Regular,Keyboard,10,51.42,True
ORD00116,2025-04-12,Regular,Mouse,10,26.12,False
ORD00117,2025-05-10,Regular,Laptop,3,998.19,True
